"No.","Time","Source","Destination","Protocol","Length","Info"
"400707","5737.032719","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","102","Standard query 0xbdeb A config.duetdisplay.com"
"400708","5737.032814","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","102","Standard query 0xf305 AAAA config.duetdisplay.com"
"400709","5737.034720","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","150","Standard query response 0xbdeb A config.duetdisplay.com A 104.22.21.189 A 172.67.10.143 A 104.22.20.189"
"400710","5737.035099","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","186","Standard query response 0xf305 AAAA config.duetdisplay.com AAAA 2606:4700:10::6816:14bd AAAA 2606:4700:10::ac43:a8f AAAA 2606:4700:10::6816:15bd"
"400724","5737.313461","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0x1c67 A messaging.engagement.office.com"
"400725","5737.313527","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0x2ee0 AAAA messaging.engagement.office.com"
"400726","5737.315363","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","202","Standard query response 0x1c67 A messaging.engagement.office.com CNAME prod-campaignaggregator.omexexternallfb.office.net.akadns.net A 52.111.231.8"
"400727","5737.315363","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","214","Standard query response 0x2ee0 AAAA messaging.engagement.office.com CNAME prod-campaignaggregator.omexexternallfb.office.net.akadns.net AAAA 2603:1046:1406:1::40"
"400764","5738.406345","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","112","Standard query 0x7bb2 A mobile.events.data.microsoft.com"
"400765","5738.406432","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","112","Standard query 0x928a AAAA mobile.events.data.microsoft.com"
